source,target,weight
Tunisia,Mauritania,0.5
Mauritania,Tunisia,0.5
Russia,Peru,0.5
Peru,Russia,0.5
Saint Lucia,Cuba,2.0
Saint Vincent and the Grenadines,Dominican Republic,2.0
Dominica,Saint Martin,2.0
Saint Kitts and Nevis,Sint Maarten,1.0
Sint Maarten,Saint Kitts and Nevis,1.0
Bonaire,Barbados,2.0
Antigua and Barbuda,Aruba,1.0
Aruba,Antigua and Barbuda,1.0
Bahamas,Anguilla,2.0
Cayman Islands,British Virgin Islands,2.0
Zimbabwe,Algeria,1.0
Bangladesh,Nepal,0.5
Nepal,Bangladesh,0.5
Canada,Ecuador,0.5
Ecuador,Canada,0.5
San Marino,Czech Republic,1.0
Hong Kong,Cambodia,0.5
Cambodia,Hong Kong,0.5
Lithuania,Israel,0.5
Israel,Lithuania,0.5
North Macedonia,Latvia,0.5
Latvia,North Macedonia,0.5
Singapore,Thailand,1.0
United Arab Emirates,Iraq,2.0
Iraq,United Arab Emirates,2.0
Cameroon,DR Congo,4.0
Gabon,Nigeria,4.0
Ukraine,France,4.0
Azerbaijan,Iceland,4.0
Portugal,Republic of Ireland,4.0
Armenia,Hungary,4.0
Estonia,Norway,4.0
Moldova,Italy,4.0
Serbia,England,4.0
Andorra,Albania,4.0
Iran,Cape Verde,1.75
Cape Verde,Iran,1.75
Solomon Islands,Papua New Guinea,3.5
El Salvador,Suriname,4.0
Guatemala,Panama,4.0
Bermuda,Curaçao,4.0
Trinidad and Tobago,Jamaica,2.0
Jamaica,Trinidad and Tobago,2.0
Costa Rica,Haiti,4.0
Honduras,Nicaragua,4.0
Angola,Argentina,1.0
Australia,Venezuela,1.0
Bolivia,South Korea,1.0
Mozambique,Morocco,1.0
Sudan,Oman,1.0
Namibia,Comoros,1.0
Chad,Uganda,1.0
Niger,Burkina Faso,1.0
Ghana,Japan,3.5
Ivory Coast,Saudi Arabia,1.0
Jordan,Tunisia,1.0
Luxembourg,Germany,4.0
Northern Ireland,Slovakia,4.0
Finland,Malta,4.0
Poland,Netherlands,2.0
Netherlands,Poland,2.0
Faroe Islands,Croatia,4.0
Gibraltar,Montenegro,4.0
Egypt,Uzbekistan,3.5
Russia,Chile,1.0
Mauritania,Libya,1.0
Tanzania,Kuwait,1.0
Lesotho,Malawi,0.5
Malawi,Lesotho,0.5
Liberia,Guinea,1.0
Senegal,Brazil,1.0
New Zealand,Colombia,1.0
Mexico,Uruguay,0.5
Uruguay,Mexico,0.5
Zambia,South Africa,1.0
Paraguay,United States,1.0
Slovenia,Kosovo,4.0
Sweden,Switzerland,4.0
Denmark,Belarus,2.0
Belarus,Denmark,2.0
Scotland,Greece,4.0
Bulgaria,Turkey,4.0
Georgia,Spain,4.0
Cyprus,Austria,4.0
Romania,Bosnia and Herzegovina,4.0
Liechtenstein,Wales,4.0
Kazakhstan,Belgium,2.0
Belgium,Kazakhstan,2.0
Martinique,Cuba,2.0
Saint Lucia,Saint Vincent and the Grenadines,2.0
Dominica,Sint Maarten,2.0
Saint Martin,Belize,2.0
Barbados,Aruba,2.0
Bonaire,Guyana,2.0
Bahamas,British Virgin Islands,2.0
Anguilla,Cayman Islands,2.0
Palestine,Basque Country,1.0
Nigeria,DR Congo,2.0
DR Congo,Nigeria,2.0
Iceland,Ukraine,4.0
Azerbaijan,France,4.0
Armenia,Portugal,4.0
Hungary,Republic of Ireland,4.0
Moldova,Israel,4.0
Italy,Norway,4.0
Albania,England,4.0
Latvia,Serbia,4.0
Namibia,Comoros,1.0
Mozambique,Chad,0.5
Chad,Mozambique,0.5
Equatorial Guinea,Madagascar,1.0
Andorra,Finland,1.0
Qatar,Zimbabwe,1.0
Bahrain,Somalia,1.0
Luxembourg,Northern Ireland,4.0
Slovakia,Germany,4.0
Malta,Poland,4.0
Lithuania,Netherlands,4.0
Gibraltar,Czech Republic,4.0
Montenegro,Croatia,4.0
Cape Verde,Egypt,1.75
Egypt,Cape Verde,1.75
Fiji,Vanuatu,3.5
Zambia,Angola,1.0
Uganda,Morocco,1.0
Oman,Ivory Coast,1.0
Saudi Arabia,Algeria,1.0
Guinea,Niger,0.5
Niger,Guinea,0.5
Kenya,Senegal,1.0
Benin,Burkina Faso,1.0
Bolivia,Japan,3.5
Jordan,Mali,1.0
Kuwait,Gambia,0.5
Gambia,Kuwait,0.5
Lesotho,Malawi,1.0
Maldives,Philippines,2.5
Timor-Leste,Tajikistan,2.5
Bhutan,Yemen,2.5
Brunei,Lebanon,2.5
India,Bangladesh,2.5
Hong Kong,Singapore,2.5
Sri Lanka,Thailand,2.5
Taiwan,Turkmenistan,2.5
Pakistan,Syria,2.5
Nepal,Malaysia,2.5
Brazil,Tunisia,0.5
Tunisia,Brazil,0.5
Venezuela,Canada,1.0
Peru,Chile,1.0
Australia,Colombia,1.0
Cyprus,Estonia,1.0
New Zealand,Ecuador,1.0
Kazakhstan,Faroe Islands,1.0
Ghana,South Korea,1.0
Mexico,Paraguay,1.0
Uruguay,United States,1.0
United Arab Emirates,Iraq,4.0
Kosovo,Switzerland,2.0
Switzerland,Kosovo,2.0
Sweden,Slovenia,2.0
Slovenia,Sweden,2.0
Denmark,Scotland,4.0
Belarus,Greece,2.0
Greece,Belarus,2.0
Spain,Turkey,2.0
Turkey,Spain,2.0
Georgia,Bulgaria,4.0
Austria,Bosnia and Herzegovina,2.0
Bosnia and Herzegovina,Austria,2.0
San Marino,Romania,4.0
North Macedonia,Wales,4.0
Liechtenstein,Belgium,4.0
Dominican Republic,Martinique,1.0
Martinique,Dominican Republic,1.0
Saint Kitts and Nevis,Belize,2.0
Antigua and Barbuda,Guyana,2.0
Iran,Uzbekistan,1.75
Uzbekistan,Iran,1.75
Suriname,Guatemala,4.0
El Salvador,Panama,4.0
Jamaica,Curaçao,2.0
Curaçao,Jamaica,2.0
Trinidad and Tobago,Bermuda,2.0
Bermuda,Trinidad and Tobago,2.0
Costa Rica,Honduras,2.0
Honduras,Costa Rica,2.0
Nicaragua,Haiti,4.0
Laos,Vietnam,2.5
Solomon Islands,Vanuatu,3.5
Fiji,Papua New Guinea,3.5
Papua New Guinea,Vanuatu,1.75
Vanuatu,Papua New Guinea,1.75
Mauritania,Kuwait,2.5
South Sudan,Syria,2.5
Palestine,Libya,1.25
Libya,Palestine,1.25
Oman,Somalia,1.25
Somalia,Oman,1.25
Djibouti,Bahrain,2.5
Lebanon,Sudan,2.5
Comoros,Yemen,1.25
Yemen,Comoros,1.25
Tunisia,Syria,3.5
Qatar,Palestine,3.5
Comoros,Morocco,3.5
Oman,Saudi Arabia,3.5
Egypt,Kuwait,1.75
Kuwait,Egypt,1.75
United Arab Emirates,Jordan,3.5
Algeria,Sudan,1.75
Sudan,Algeria,1.75
Bahrain,Iraq,3.5
Palestine,Tunisia,1.75
Tunisia,Palestine,1.75
Qatar,Syria,1.75
Syria,Qatar,1.75
Oman,Morocco,1.75
Morocco,Oman,1.75
Comoros,Saudi Arabia,3.5
Kuwait,Jordan,3.5
United Arab Emirates,Egypt,1.75
Egypt,United Arab Emirates,1.75
Bahrain,Algeria,3.5
Sudan,Iraq,3.5
Qatar,Tunisia,3.5
Syria,Palestine,1.75
Palestine,Syria,1.75
Saudi Arabia,Morocco,3.5
Comoros,Oman,3.5
Egypt,Jordan,3.5
Kuwait,United Arab Emirates,3.5
Iraq,Algeria,3.5
Sudan,Bahrain,3.5
Syria,Morocco,3.5
Palestine,Saudi Arabia,3.5
Iraq,Jordan,3.5
Algeria,United Arab Emirates,1.75
United Arab Emirates,Algeria,1.75
United Arab Emirates,Morocco,3.5
Saudi Arabia,Jordan,3.5
Jordan,Morocco,3.5
Comoros,Morocco,3.5
Mali,Zambia,1.75
Zambia,Mali,1.75
Angola,South Africa,3.5
Zimbabwe,Egypt,3.5
Tanzania,Nigeria,3.5
Uganda,Tunisia,3.5
Benin,DR Congo,3.5
Botswana,Senegal,3.5
Equatorial Guinea,Burkina Faso,3.5
Sudan,Algeria,3.5
Mozambique,Ivory Coast,3.5
Gabon,Cameroon,3.5
Zambia,Comoros,1.75
Comoros,Zambia,1.75
Morocco,Mali,1.75
Mali,Morocco,1.75
Angola,Zimbabwe,1.75
Zimbabwe,Angola,1.75
South Africa,Egypt,3.5
Uganda,Tanzania,1.75
Tanzania,Uganda,1.75
Tunisia,Nigeria,3.5
Botswana,Benin,3.5
Senegal,DR Congo,1.75
DR Congo,Senegal,1.75
Equatorial Guinea,Sudan,3.5
Burkina Faso,Algeria,3.5
Gabon,Mozambique,3.5
Ivory Coast,Cameroon,1.75
Cameroon,Ivory Coast,1.75
Zambia,Morocco,3.5
Comoros,Mali,1.75
Mali,Comoros,1.75
Angola,Egypt,1.75
Egypt,Angola,1.75
Zimbabwe,South Africa,3.5
Uganda,Nigeria,3.5
Tanzania,Tunisia,1.75
Tunisia,Tanzania,1.75
Benin,Senegal,3.5
Botswana,DR Congo,3.5
Equatorial Guinea,Algeria,3.5
Sudan,Burkina Faso,3.5
Gabon,Ivory Coast,3.5
Mozambique,Cameroon,3.5
Sudan,Senegal,3.5
Mali,Tunisia,1.75
Tunisia,Mali,1.75
Tanzania,Morocco,3.5
South Africa,Cameroon,3.5
Benin,Egypt,3.5
Mozambique,Nigeria,3.5
DR Congo,Algeria,3.5
Burkina Faso,Ivory Coast,3.5
Mali,Senegal,3.5
Cameroon,Morocco,3.5
Algeria,Nigeria,3.5
Ivory Coast,Egypt,3.5
Egypt,Senegal,3.5
Morocco,Nigeria,1.75
Nigeria,Morocco,1.75
Egypt,Nigeria,1.75
Nigeria,Egypt,1.75
Senegal,Morocco,3.5
Bolivia,Panama,0.5
Panama,Bolivia,0.5
Grenada,Jamaica,1.0
Panama,Mexico,1.0
Bolivia,Mexico,1.0
Uzbekistan,China,0.5
China,Uzbekistan,0.5
Iceland,Mexico,1.0
Trinidad and Tobago,Bolivia,1.0
Bermuda,DR Congo,1.0
Kyrgyzstan,Equatorial Guinea,1.0
Namibia,Kazakhstan,2.0
American Samoa,United States Virgin Islands,2.0
Guam,Puerto Rico,2.0
Brazil,France,1.0
Colombia,Croatia,1.0
Cyprus,Belarus,1.0
Georgia,Israel,0.5
Israel,Georgia,0.5
Moldova,Lithuania,1.0
Bangladesh,Vietnam,1.0
New Caledonia,Jamaica,4.0
Suriname,Bolivia,4.0
Northern Ireland,Italy,4.0
Wales,Bosnia and Herzegovina,2.0
Bosnia and Herzegovina,Wales,2.0
Albania,Poland,4.0
Ukraine,Sweden,4.0
Slovakia,Kosovo,4.0
Romania,Turkey,4.0
Czech Republic,Republic of Ireland,2.0
Republic of Ireland,Czech Republic,2.0
North Macedonia,Denmark,4.0
Macau,Aruba,2.0
Tanzania,Liechtenstein,2.0
Martinique,Cuba,1.0
Cuba,Martinique,1.0
Dominican Republic,El Salvador,1.0
El Salvador,Dominican Republic,1.0
Barbados,Saint Martin,2.0
Saint Vincent and the Grenadines,Bonaire,2.0
Bahamas,Anguilla,2.0
Cayman Islands,British Virgin Islands,1.0
British Virgin Islands,Cayman Islands,1.0
Guatemala,Algeria,1.0
Mauritania,Argentina,1.0
Ghana,Austria,1.0
England,Uruguay,0.5
Uruguay,England,0.5
Greece,Paraguay,1.0
Guinea,Togo,1.0
Togo,Guinea,1.0
Liberia,Benin,2.0
Libya,Niger,1.0
Niger,Libya,1.0
Andorra,Montenegro,1.0
Morocco,Ecuador,0.5
Ecuador,Morocco,0.5
Norway,Netherlands,1.0
Saudi Arabia,Egypt,1.0
South Africa,Panama,0.5
Panama,South Africa,0.5
Serbia,Spain,1.0
Nicaragua,Russia,1.0
Switzerland,Germany,1.0
Costa Rica,Jordan,0.5
Jordan,Costa Rica,0.5
Iran,Nigeria,1.0
Curaçao,China,2.0
Cameroon,Australia,2.0
Saint Lucia,Azerbaijan,2.0
Solomon Islands,Bulgaria,2.0
Saint Kitts and Nevis,Indonesia,2.0
Cape Verde,Chile,2.0
New Zealand,Finland,2.0
Kenya,Estonia,1.0
Estonia,Kenya,1.0
Grenada,Rwanda,2.0
Trinidad and Tobago,Venezuela,2.0
Gabon,Uzbekistan,2.0
Dominica,Guyana,2.0
Belize,Sint Maarten,2.0
Guinea-Bissau,Burkina Faso,1.0
Canada,Iceland,0.5
Iceland,Canada,0.5
Haiti,Tunisia,1.0
Slovenia,Hungary,1.0
South Korea,Ivory Coast,1.0
Mexico,Portugal,0.5
Portugal,Mexico,0.5
San Marino,Faroe Islands,1.0
Scotland,Japan,1.0
Peru,Senegal,1.0
United States,Belgium,1.0
Kyrgyzstan,Madagascar,1.0
Botswana,Zimbabwe,2.0
Namibia,Comoros,1.0
Comoros,Namibia,1.0
American Samoa,Guam,2.0
United States Virgin Islands,Puerto Rico,2.0
Armenia,Belarus,1.0
Colombia,France,1.0
Lithuania,Georgia,1.0
Macau,Tanzania,2.0
Liechtenstein,Aruba,2.0
Martinique,El Salvador,2.0
Dominican Republic,Cuba,1.0
Cuba,Dominican Republic,1.0
Barbados,Saint Vincent and the Grenadines,2.0
Bonaire,Saint Martin,2.0
Anguilla,British Virgin Islands,2.0
Bahamas,Cayman Islands,2.0
Moldova,Cyprus,1.0
Ghana,Germany,1.0
Azerbaijan,Sierra Leone,1.0
Sierra Leone,Azerbaijan,1.0
Solomon Islands,Saint Kitts and Nevis,2.0
Indonesia,Bulgaria,2.0
Cape Verde,Finland,1.0
Finland,Cape Verde,1.0
Chile,New Zealand,2.0
Grenada,Kenya,2.0
Estonia,Rwanda,2.0
Gabon,Trinidad and Tobago,1.0
Trinidad and Tobago,Gabon,1.0
Uzbekistan,Venezuela,1.0
Venezuela,Uzbekistan,1.0
Belize,Guyana,2.0
Dominica,Sint Maarten,1.0
Sint Maarten,Dominica,1.0
Algeria,Uruguay,0.5
Uruguay,Algeria,0.5
Zambia,Argentina,1.0
South Korea,Austria,1.0
Guinea,Benin,2.0
Croatia,Brazil,1.0
Burkina Faso,Guinea-Bissau,0.5
Guinea-Bissau,Burkina Faso,0.5
Canada,Tunisia,0.5
Tunisia,Canada,0.5
Costa Rica,Iran,1.0
England,Japan,1.0
Equatorial Guinea,Madagascar,0.5
Madagascar,Equatorial Guinea,0.5
Haiti,Iceland,0.5
Iceland,Haiti,0.5
Hungary,Greece,0.5
Greece,Hungary,0.5
Scotland,Ivory Coast,1.0
Jordan,Nigeria,0.5
Nigeria,Jordan,0.5
Liberia,Libya,1.0
Libya,Liberia,1.0
Malawi,Botswana,2.0
Mexico,Belgium,0.5
Belgium,Mexico,0.5
Montenegro,Slovenia,1.0
Paraguay,Morocco,1.0
Netherlands,Ecuador,0.5
Ecuador,Netherlands,0.5
Niger,Togo,2.0
Norway,Switzerland,0.5
Switzerland,Norway,0.5
Peru,Honduras,0.5
Honduras,Peru,0.5
Russia,Mali,0.5
Mali,Russia,0.5
Republic of Ireland,North Macedonia,0.5
North Macedonia,Republic of Ireland,0.5
San Marino,Andorra,0.5
Andorra,San Marino,0.5
Gambia,Senegal,1.0
Saudi Arabia,Serbia,1.0
Romania,Slovakia,1.0
South Africa,Panama,1.0
Spain,Egypt,0.5
Egypt,Spain,0.5
Albania,Ukraine,1.0
United States,Portugal,1.0
Wales,Northern Ireland,0.5
Northern Ireland,Wales,0.5
Jamaica,DR Congo,4.0
Bolivia,Iraq,4.0
Bosnia and Herzegovina,Italy,2.0
Italy,Bosnia and Herzegovina,2.0
Poland,Sweden,4.0
Kosovo,Turkey,4.0
Czech Republic,Denmark,2.0
Denmark,Czech Republic,2.0
China,Cameroon,2.0
Curaçao,Australia,2.0
Comoros,Kazakhstan,2.0
Grenada,Republic of Ireland,1.0
Ghana,Mexico,1.0
Burundi,Morocco,1.0
Zimbabwe,Nigeria,3.5
India,Jamaica,3.5
Qatar,Republic of Ireland,1.0
Russia,Egypt,1.0
Andorra,Iraq,1.0
Bosnia and Herzegovina,North Macedonia,0.5
North Macedonia,Bosnia and Herzegovina,0.5
Gambia,Iran,1.0
South Africa,Nicaragua,0.5
Nicaragua,South Africa,0.5
Saudi Arabia,Ecuador,1.0
Trinidad and Tobago,South Korea,1.0
Australia,Mexico,1.0
Curaçao,Scotland,1.0
India,Zimbabwe,3.5
Jamaica,Nigeria,3.5
Panama,Brazil,1.0
Serbia,Cape Verde,1.0
Kosovo,Czech Republic,1.0
Finland,Germany,1.0
Poland,Ukraine,1.0
Mongolia,Singapore,1.0
Jordan,Switzerland,1.0
Senegal,United States,1.0
Iceland,Japan,1.0
Tunisia,Austria,1.0
Bulgaria,Montenegro,1.0
Uzbekistan,Canada,1.0
Costa Rica,Colombia,1.0
Sweden,Norway,1.0
Malta,Slovakia,1.0
North Macedonia,Turkey,1.0
Maldives,Afghanistan,2.0
Croatia,Belgium,1.0
Georgia,Romania,0.5
Romania,Georgia,0.5
New Zealand,Haiti,1.0
Madagascar,Morocco,1.0
Wales,Ghana,0.5
Ghana,Wales,0.5
Raetia,Padania,3.5
Rouet-Provence,Canton Ticino,3.5
Greenland,Padania,3.5
Canton Ticino,Northern Cyprus,3.5
Albania,Israel,1.0
DR Congo,Denmark,0.5
Denmark,DR Congo,0.5
British Virgin Islands,Gibraltar,1.0
El Salvador,South Korea,1.0
Luxembourg,Italy,1.0
Netherlands,Algeria,1.0
Dominican Republic,Panama,1.0
Poland,Nigeria,0.5
Nigeria,Poland,0.5
Guam,Philippines,1.0
Raetia,Greenland,3.5
Rouet-Provence,Northern Cyprus,3.5
Maldives,Pakistan,2.0
Liechtenstein,Andorra,1.0
Bhutan,Cambodia,1.0
France,Ivory Coast,1.0
Guatemala,Czech Republic,1.0
Mali,Iran,1.0
Lesotho,Kenya,0.5
Kenya,Lesotho,0.5
Serbia,Mexico,1.0
Guinea,Northern Ireland,1.0
Slovenia,Cyprus,0.5
Cyprus,Slovenia,0.5
Spain,Iraq,0.5
Iraq,Spain,0.5
Sweden,Greece,0.5
Greece,Sweden,0.5
Angola,Mauritania,0.5
Mauritania,Angola,0.5
Azerbaijan,Malta,1.0
Syria,Belarus,1.0
Canada,Republic of Ireland,0.5
Republic of Ireland,Canada,0.5
Bahrain,Georgia,1.0
Haiti,Peru,1.0
Mongolia,Hong Kong,1.0
Finland,Hungary,1.0
Oman,Indonesia,1.0
Moldova,Bulgaria,0.5
Bulgaria,Moldova,0.5
Nicaragua,Paraguay,1.0
San Marino,Bangladesh,1.0
Singapore,China,1.0
Slovakia,Montenegro,0.5
Montenegro,Slovakia,0.5
India,Tajikistan,1.0
Thailand,Kuwait,0.5
Kuwait,Thailand,0.5
Burkina Faso,Russia,1.0
Benin,Niger,0.5
Niger,Benin,0.5
Central African Republic,Togo,0.5
Togo,Central African Republic,0.5
Puerto Rico,Saudi Arabia,1.0
Raetia,Rouet-Provence,1.75
Rouet-Provence,Raetia,1.75
Canton Ticino,Greenland,3.5
Padania,Northern Cyprus,3.5
Fiji,Vanuatu,1.0
Albania,Luxembourg,1.0
Honduras,Argentina,1.0
Armenia,Kazakhstan,0.5
Kazakhstan,Armenia,0.5
Australia,Switzerland,0.5
Switzerland,Australia,0.5
Tunisia,Belgium,1.0
Cape Verde,Bermuda,1.0
Bolivia,Scotland,1.0
Egypt,Brazil,1.0
Aruba,Curaçao,1.0
New Zealand,England,1.0
Liberia,Sierra Leone,1.0
Malawi,Ethiopia,1.0
Jamaica,South Africa,1.0
Kyrgyzstan,Palestine,0.5
Palestine,Kyrgyzstan,0.5
Panama,Bosnia and Herzegovina,0.5
Bosnia and Herzegovina,Panama,0.5
Chile,Portugal,1.0
Qatar,El Salvador,0.5
El Salvador,Qatar,0.5
Wales,Romania,1.0
United States,Germany,1.0
Bonaire,British Virgin Islands,1.0
Cayman Islands,Gibraltar,1.0
Venezuela,Turkey,1.0
Guam,Myanmar,3.5
Lithuania,Latvia,1.75
Latvia,Lithuania,1.75
Faroe Islands,Estonia,3.5
Afghanistan,Pakistan,2.0
Slovenia,Croatia,1.0
Guatemala,Ecuador,1.0
Greece,Italy,1.0
Jordan,Colombia,1.0
Andorra,Kosovo,1.0
Liechtenstein,Cyprus,1.0
Morocco,Norway,0.5
Norway,Morocco,0.5
Ukraine,Denmark,1.0
Northern Ireland,France,1.0
Uzbekistan,Netherlands,1.0
Peru,Spain,1.0
Niger,Mauritania,1.0
Central African Republic,Angola,1.0
Iceland,Argentina,1.0
Armenia,Moldova,0.5
Moldova,Armenia,0.5
San Marino,Azerbaijan,1.0
Belarus,Burkina Faso,0.5
Burkina Faso,Belarus,0.5
Hong Kong,Cambodia,1.0
China,Thailand,0.5
Thailand,China,0.5
DR Congo,Chile,1.0
Equatorial Guinea,Comoros,1.0
Ethiopia,Malawi,0.5
Malawi,Ethiopia,0.5
Kazakhstan,Hungary,1.0
Mozambique,Indonesia,1.0
Kyrgyzstan,Palestine,0.5
Palestine,Kyrgyzstan,0.5
Saudi Arabia,Senegal,0.5
Senegal,Saudi Arabia,0.5
Tajikistan,India,0.5
India,Tajikistan,0.5
Myanmar,Philippines,3.5
Latvia,Faroe Islands,3.5
Lithuania,Estonia,3.5
Trinidad and Tobago,Russia,1.0
Benin,Togo,1.0
Sierra Leone,Liberia,1.0
Iraq,Venezuela,1.0
Bolivia,Algeria,1.0
Costa Rica,England,1.0
Nigeria,Portugal,1.0
Afghanistan,Pakistan,2.0
South Africa,Mexico,4.0
Czech Republic,South Korea,4.0
Canada,Bosnia and Herzegovina,2.0
Bosnia and Herzegovina,Canada,2.0
Paraguay,United States,4.0
Qatar,Switzerland,2.0
Switzerland,Qatar,2.0
Brazil,Morocco,2.0
Morocco,Brazil,2.0
Haiti,Scotland,4.0
Turkey,Australia,4.0
Curaçao,Germany,4.0
Ecuador,Ivory Coast,4.0
Netherlands,Japan,2.0
Japan,Netherlands,2.0
Tunisia,Sweden,4.0
Belgium,Egypt,2.0
Egypt,Belgium,2.0
Iran,New Zealand,2.0
New Zealand,Iran,2.0
Spain,Cape Verde,2.0
Cape Verde,Spain,2.0
Saudi Arabia,Uruguay,2.0
Uruguay,Saudi Arabia,2.0
Senegal,France,4.0
Iraq,Norway,4.0
Algeria,Argentina,4.0
Jordan,Austria,4.0
Portugal,DR Congo,2.0
DR Congo,Portugal,2.0
Uzbekistan,Colombia,4.0
Croatia,England,4.0
Panama,Ghana,4.0
Czech Republic,South Africa,2.0
South Africa,Czech Republic,2.0
South Korea,Mexico,4.0
Bosnia and Herzegovina,Switzerland,4.0
Qatar,Canada,4.0
Scotland,Morocco,4.0
Haiti,Brazil,4.0
Australia,United States,4.0
Turkey,Paraguay,4.0
Ivory Coast,Germany,4.0
Ecuador,Curaçao,2.0
Curaçao,Ecuador,2.0
Sweden,Netherlands,4.0
Tunisia,Japan,4.0
Belgium,Iran,2.0
Iran,Belgium,2.0
New Zealand,Egypt,4.0
Saudi Arabia,Spain,4.0
Uruguay,Cape Verde,2.0
Cape Verde,Uruguay,2.0
Iraq,France,4.0
Senegal,Norway,4.0
Austria,Argentina,4.0
Jordan,Algeria,4.0
Uzbekistan,Portugal,4.0
DR Congo,Colombia,4.0
England,Ghana,2.0
Ghana,England,2.0
Panama,Croatia,4.0
Czech Republic,Mexico,4.0
South Korea,South Africa,4.0
Canada,Switzerland,4.0
Qatar,Bosnia and Herzegovina,4.0
Scotland,Brazil,4.0
Haiti,Morocco,4.0
United States,Turkey,4.0
Paraguay,Australia,2.0
Australia,Paraguay,2.0
Curaçao,Ivory Coast,4.0
Germany,Ecuador,4.0
Japan,Sweden,2.0
Sweden,Japan,2.0
Tunisia,Netherlands,4.0
Egypt,Iran,2.0
Iran,Egypt,2.0
New Zealand,Belgium,4.0
Cape Verde,Saudi Arabia,2.0
Saudi Arabia,Cape Verde,2.0
Uruguay,Spain,4.0
Norway,France,4.0
Iraq,Senegal,4.0
Algeria,Austria,2.0
Austria,Algeria,2.0
Jordan,Argentina,4.0
Colombia,Portugal,2.0
Portugal,Colombia,2.0
Uzbekistan,DR Congo,4.0
Panama,England,4.0
Ghana,Croatia,4.0
South Africa,Canada,4.0
Japan,Brazil,4.0
Germany,Paraguay,2.0
Paraguay,Germany,2.0
Netherlands,Morocco,2.0
Morocco,Netherlands,2.0
Ivory Coast,Norway,4.0
Sweden,France,4.0
Ecuador,Mexico,4.0
DR Congo,England,4.0
Senegal,Belgium,4.0
Bosnia and Herzegovina,United States,4.0
Austria,Spain,4.0
Croatia,Portugal,4.0
Algeria,Switzerland,4.0
Australia,Egypt,2.0
Egypt,Australia,2.0
Cape Verde,Argentina,4.0
Ghana,Colombia,4.0
Canada,Morocco,4.0
Paraguay,France,4.0
Brazil,Norway,4.0
Mexico,England,4.0
Portugal,Spain,4.0
United States,Belgium,4.0
Egypt,Argentina,4.0
Switzerland,Colombia,2.0
Colombia,Switzerland,2.0
Morocco,France,4.0
Belgium,Spain,4.0
Norway,England,4.0
Switzerland,Argentina,4.0
France,Spain,4.0
England,Argentina,4.0
France,England,4.0
Myanmar,Vietnam,1.0
Argentina,Spain,4.0
